incident_id,jira_key,opened_date,severity,status,root_cause,asset_id,workflow_id,impacted_users,hours_open,owner,workflow,business_line,triage_score,recommended_action
INC-084,BI-3184,2026-04-18,P1,In review,Late upstream load,RPT-018,AWM-040,240,96,Technology,Client reference data update,Alternatives Operations,102.8,War room and source fix
INC-081,BI-3181,2026-03-21,P1,In review,Metric definition gap,RPT-004,AWM-004,60,74,Data Analytics,Model portfolio rebalance approval,Alternatives Operations,94.4,War room and source fix
INC-061,BI-3161,2026-03-20,P1,In review,Metric definition gap,RPT-015,AWM-026,832,44,Technology,Fee schedule configuration,Managed Accounts,92.2,War room and source fix
INC-017,BI-3117,2026-04-03,P1,Resolved,Source access,RPT-002,AWM-041,504,28,Client Ops,Custody account mapping,Institutional Asset Management,89.4,War room and source fix
INC-006,BI-3106,2026-04-15,P1,Resolved,Metric definition gap,RPT-010,AWM-020,790,24,Controls,Tax document exception review,Managed Accounts,82.9,War room and source fix
INC-063,BI-3163,2026-04-16,P1,Resolved,Late upstream load,RPT-001,AWM-011,578,3,Controls,Alternatives subscription packet,Client Reporting,82.9,War room and source fix
INC-028,BI-3128,2026-05-03,P2,In review,Source access,RPT-015,AWM-026,229,94,Data Analytics,Fee schedule configuration,Managed Accounts,79.1,War room and source fix
INC-039,BI-3139,2026-03-06,P1,Resolved,Late upstream load,RPT-019,AWM-022,570,1,Controls,Fee schedule configuration,Private Wealth,78.8,War room and source fix
INC-002,BI-3102,2026-03-14,P2,Open,Metric definition gap,RPT-006,AWM-026,310,69,Controls,Fee schedule configuration,Managed Accounts,75.5,War room and source fix
INC-014,BI-3114,2026-03-22,P2,In review,Late upstream load,RPT-005,AWM-019,96,81,Data Analytics,Mandate closure checklist,Client Reporting,74.6,War room and source fix
INC-040,BI-3140,2026-03-17,P2,Resolved,Data defect,RPT-012,AWM-010,399,42,Data Analytics,Model portfolio rebalance approval,Institutional Asset Management,72.4,War room and source fix
INC-007,BI-3107,2026-03-09,P2,In review,Source access,RPT-019,AWM-022,380,54,Technology,Fee schedule configuration,Private Wealth,72.1,War room and source fix
INC-078,BI-3178,2026-03-25,P2,Open,Metric definition gap,RPT-008,AWM-014,93,71,Controls,Quarterly statement preparation,Alternatives Operations,71.7,Owner review today
INC-068,BI-3168,2026-03-05,P2,In review,Refresh failure,RPT-003,AWM-021,262,56,Controls,Fee schedule configuration,Alternatives Operations,71.3,Owner review today
INC-019,BI-3119,2026-04-20,P2,Resolved,Metric definition gap,RPT-004,AWM-004,193,43,Reporting Enablement,Model portfolio rebalance approval,Alternatives Operations,70.0,Owner review today
INC-051,BI-3151,2026-04-06,P2,Open,Source access,RPT-022,AWM-002,196,42,Controls,Cash movement approval,Private Wealth,69.8,Owner review today
INC-060,BI-3160,2026-03-15,P2,Resolved,Refresh failure,RPT-001,AWM-011,400,29,Reporting Enablement,Alternatives subscription packet,Client Reporting,68.8,Owner review today
INC-062,BI-3162,2026-03-07,P3,In review,Data defect,RPT-004,AWM-004,307,86,Controls,Model portfolio rebalance approval,Alternatives Operations,68.7,Owner review today
INC-025,BI-3125,2026-03-30,P2,In review,Source access,RPT-003,AWM-021,230,48,Controls,Fee schedule configuration,Alternatives Operations,68.6,Owner review today
INC-020,BI-3120,2026-04-13,P3,Open,Data defect,RPT-018,AWM-040,209,91,Reporting Enablement,Client reference data update,Alternatives Operations,67.3,Owner review today
INC-090,BI-3190,2026-05-01,P2,Resolved,Source access,RPT-009,AWM-025,206,45,Reporting Enablement,Investment guideline setup,Institutional Asset Management,67.3,Owner review today
INC-058,BI-3158,2026-03-16,P2,In review,Refresh failure,RPT-008,AWM-014,53,62,Client Ops,Quarterly statement preparation,Alternatives Operations,67.1,Owner review today
INC-079,BI-3179,2026-04-30,P2,Resolved,Metric definition gap,RPT-001,AWM-011,407,22,Data Analytics,Alternatives subscription packet,Client Reporting,66.9,Owner review today
INC-083,BI-3183,2026-03-04,P2,Resolved,Source access,RPT-019,AWM-022,397,34,Client Ops,Fee schedule configuration,Private Wealth,66.7,Owner review today
INC-071,BI-3171,2026-04-05,P2,Resolved,Late upstream load,RPT-002,AWM-041,381,22,Client Ops,Custody account mapping,Institutional Asset Management,66.6,Owner review today
INC-046,BI-3146,2026-04-10,P2,In review,Refresh failure,RPT-006,AWM-026,42,63,Reporting Enablement,Fee schedule configuration,Managed Accounts,66.5,Owner review today
INC-026,BI-3126,2026-03-07,P3,In review,Data defect,RPT-008,AWM-014,405,92,Controls,Quarterly statement preparation,Alternatives Operations,66.2,Owner review today
INC-077,BI-3177,2026-04-05,P2,Resolved,Source access,RPT-001,AWM-011,156,32,Data Analytics,Alternatives subscription packet,Client Reporting,66.1,Owner review today
INC-011,BI-3111,2026-03-04,P2,In review,Metric definition gap,RPT-015,AWM-026,204,36,Data Analytics,Fee schedule configuration,Managed Accounts,64.8,Owner review today
INC-035,BI-3135,2026-03-11,P2,In review,Data defect,RPT-021,AWM-009,255,58,Data Analytics,Alternatives subscription packet,Alternatives Operations,64.7,Owner review today
INC-027,BI-3127,2026-04-04,P2,Resolved,Source access,RPT-006,AWM-026,107,43,Data Analytics,Fee schedule configuration,Managed Accounts,64.3,Owner review today
INC-057,BI-3157,2026-03-15,P2,In review,Refresh failure,RPT-014,AWM-020,215,46,Client Ops,Tax document exception review,Managed Accounts,64.3,Owner review today
INC-003,BI-3103,2026-03-10,P2,Resolved,Metric definition gap,RPT-006,AWM-026,200,28,Data Analytics,Fee schedule configuration,Managed Accounts,62.4,Owner review today
INC-064,BI-3164,2026-03-18,P2,Resolved,Refresh failure,RPT-015,AWM-026,308,21,Data Analytics,Fee schedule configuration,Managed Accounts,62.1,Owner review today
INC-075,BI-3175,2026-03-28,P3,In review,Source access,RPT-022,AWM-002,227,66,Reporting Enablement,Cash movement approval,Private Wealth,62.1,Owner review today
INC-052,BI-3152,2026-03-07,P2,In review,Data defect,RPT-008,AWM-014,272,22,Controls,Quarterly statement preparation,Alternatives Operations,61.9,Owner review today
INC-016,BI-3116,2026-03-22,P2,Open,Refresh failure,RPT-015,AWM-026,122,32,Controls,Fee schedule configuration,Managed Accounts,61.7,Owner review today
