entity_id,entity_name,segment,owner
FIN001,Finance operations workflow 1,Growth,Operations
FIN002,Finance operations workflow 2,Strategic,Product
FIN003,Finance operations workflow 3,Watch,Analytics
FIN004,Finance operations workflow 4,Strategic,Analytics
FIN005,Finance operations workflow 5,Watch,Analytics
FIN006,Finance operations workflow 6,Growth,Customer
FIN007,Finance operations workflow 7,Growth,Revenue
FIN008,Finance operations workflow 8,Core,Operations
FIN009,Finance operations workflow 9,Watch,Customer
FIN010,Finance operations workflow 10,Growth,Revenue
FIN011,Finance operations workflow 11,Core,Product
FIN012,Finance operations workflow 12,Core,Revenue
FIN013,Finance operations workflow 13,Strategic,Analytics
FIN014,Finance operations workflow 14,Core,Revenue
FIN015,Finance operations workflow 15,Watch,Revenue
FIN016,Finance operations workflow 16,Watch,Revenue
FIN017,Finance operations workflow 17,Core,Operations
FIN018,Finance operations workflow 18,Strategic,Revenue
FIN019,Finance operations workflow 19,Core,Operations
FIN020,Finance operations workflow 20,Strategic,Customer
FIN021,Finance operations workflow 21,Core,Customer
FIN022,Finance operations workflow 22,Watch,Revenue
FIN023,Finance operations workflow 23,Growth,Product
FIN024,Finance operations workflow 24,Strategic,Product
FIN025,Finance operations workflow 25,Watch,Product
FIN026,Finance operations workflow 26,Growth,Customer
FIN027,Finance operations workflow 27,Strategic,Customer
FIN028,Finance operations workflow 28,Growth,Product
FIN029,Finance operations workflow 29,Growth,Operations
FIN030,Finance operations workflow 30,Core,Customer
FIN031,Finance operations workflow 31,Core,Revenue
FIN032,Finance operations workflow 32,Watch,Customer
FIN033,Finance operations workflow 33,Growth,Operations
FIN034,Finance operations workflow 34,Core,Customer
FIN035,Finance operations workflow 35,Watch,Operations
FIN036,Finance operations workflow 36,Strategic,Analytics
