incident_id,jira_key,opened_date,severity,status,root_cause,asset_id,workflow_id,impacted_users,hours_open,owner
INC-001,BI-3101,2026-04-05,P3,Resolved,Metric definition gap,RPT-018,AWM-040,14,5,Reporting Enablement
INC-002,BI-3102,2026-03-14,P2,Open,Metric definition gap,RPT-006,AWM-026,310,69,Controls
INC-003,BI-3103,2026-03-10,P2,Resolved,Metric definition gap,RPT-006,AWM-026,200,28,Data Analytics
INC-004,BI-3104,2026-04-13,P2,In review,Data defect,RPT-013,AWM-030,8,33,Data Analytics
INC-005,BI-3105,2026-03-16,P3,In review,Metric definition gap,RPT-022,AWM-002,48,10,Controls
INC-006,BI-3106,2026-04-15,P1,Resolved,Metric definition gap,RPT-010,AWM-020,790,24,Controls
INC-007,BI-3107,2026-03-09,P2,In review,Source access,RPT-019,AWM-022,380,54,Technology
INC-008,BI-3108,2026-03-13,P3,Resolved,Late upstream load,RPT-011,AWM-005,377,13,Controls
INC-009,BI-3109,2026-04-03,P2,Resolved,Data defect,RPT-005,AWM-019,366,17,Controls
INC-010,BI-3110,2026-04-29,P3,In review,Source access,RPT-004,AWM-004,221,51,Data Analytics
INC-011,BI-3111,2026-03-04,P2,In review,Metric definition gap,RPT-015,AWM-026,204,36,Data Analytics
INC-012,BI-3112,2026-04-01,P2,Open,Late upstream load,RPT-017,AWM-025,224,12,Controls
INC-013,BI-3113,2026-04-11,P3,In review,Late upstream load,RPT-015,AWM-026,151,28,Controls
INC-014,BI-3114,2026-03-22,P2,In review,Late upstream load,RPT-005,AWM-019,96,81,Data Analytics
INC-015,BI-3115,2026-03-15,P2,Resolved,Late upstream load,RPT-003,AWM-021,262,14,Data Analytics
INC-016,BI-3116,2026-03-22,P2,Open,Refresh failure,RPT-015,AWM-026,122,32,Controls
INC-017,BI-3117,2026-04-03,P1,Resolved,Source access,RPT-002,AWM-041,504,28,Client Ops
INC-018,BI-3118,2026-04-20,P2,Resolved,Metric definition gap,RPT-012,AWM-010,112,3,Reporting Enablement
INC-019,BI-3119,2026-04-20,P2,Resolved,Metric definition gap,RPT-004,AWM-004,193,43,Reporting Enablement
INC-020,BI-3120,2026-04-13,P3,Open,Data defect,RPT-018,AWM-040,209,91,Reporting Enablement
INC-021,BI-3121,2026-04-08,P2,Resolved,Data defect,RPT-010,AWM-020,200,32,Reporting Enablement
INC-022,BI-3122,2026-04-27,P3,In review,Source access,RPT-022,AWM-002,164,55,Client Ops
INC-023,BI-3123,2026-04-29,P3,Resolved,Metric definition gap,RPT-007,AWM-011,94,43,Technology
INC-024,BI-3124,2026-03-29,P3,Open,Late upstream load,RPT-018,AWM-040,58,68,Technology
INC-025,BI-3125,2026-03-30,P2,In review,Source access,RPT-003,AWM-021,230,48,Controls
INC-026,BI-3126,2026-03-07,P3,In review,Data defect,RPT-008,AWM-014,405,92,Controls
INC-027,BI-3127,2026-04-04,P2,Resolved,Source access,RPT-006,AWM-026,107,43,Data Analytics
INC-028,BI-3128,2026-05-03,P2,In review,Source access,RPT-015,AWM-026,229,94,Data Analytics
INC-029,BI-3129,2026-03-30,P3,In review,Source access,RPT-016,AWM-013,88,25,Client Ops
INC-030,BI-3130,2026-03-12,P3,Resolved,Metric definition gap,RPT-022,AWM-002,306,17,Data Analytics
INC-031,BI-3131,2026-04-17,P2,In review,Source access,RPT-015,AWM-026,241,16,Data Analytics
INC-032,BI-3132,2026-03-15,P3,In review,Late upstream load,RPT-018,AWM-040,417,43,Client Ops
INC-033,BI-3133,2026-04-30,P3,Resolved,Late upstream load,RPT-001,AWM-011,252,42,Client Ops
INC-034,BI-3134,2026-04-06,P2,Resolved,Data defect,RPT-018,AWM-040,259,2,Technology
INC-035,BI-3135,2026-03-11,P2,In review,Data defect,RPT-021,AWM-009,255,58,Data Analytics
INC-036,BI-3136,2026-04-14,P3,Resolved,Late upstream load,RPT-007,AWM-011,28,43,Data Analytics
INC-037,BI-3137,2026-03-16,P3,Resolved,Source access,RPT-003,AWM-021,37,25,Reporting Enablement
INC-038,BI-3138,2026-03-23,P3,Resolved,Metric definition gap,RPT-013,AWM-030,317,36,Controls
INC-039,BI-3139,2026-03-06,P1,Resolved,Late upstream load,RPT-019,AWM-022,570,1,Controls
INC-040,BI-3140,2026-03-17,P2,Resolved,Data defect,RPT-012,AWM-010,399,42,Data Analytics
INC-041,BI-3141,2026-04-22,P3,In review,Source access,RPT-002,AWM-041,46,54,Controls
INC-042,BI-3142,2026-04-16,P3,Open,Refresh failure,RPT-021,AWM-009,211,5,Data Analytics
INC-043,BI-3143,2026-03-16,P2,Resolved,Data defect,RPT-010,AWM-020,53,27,Data Analytics
INC-044,BI-3144,2026-04-05,P3,Resolved,Source access,RPT-017,AWM-025,169,1,Data Analytics
INC-045,BI-3145,2026-04-18,P3,Resolved,Metric definition gap,RPT-022,AWM-002,279,24,Client Ops
INC-046,BI-3146,2026-04-10,P2,In review,Refresh failure,RPT-006,AWM-026,42,63,Reporting Enablement
INC-047,BI-3147,2026-03-13,P3,In review,Metric definition gap,RPT-020,AWM-020,125,93,Data Analytics
INC-048,BI-3148,2026-03-25,P3,Resolved,Late upstream load,RPT-009,AWM-025,391,35,Client Ops
INC-049,BI-3149,2026-04-01,P3,Resolved,Data defect,RPT-011,AWM-005,341,13,Client Ops
INC-050,BI-3150,2026-03-24,P3,Open,Metric definition gap,RPT-019,AWM-022,400,14,Data Analytics
INC-051,BI-3151,2026-04-06,P2,Open,Source access,RPT-022,AWM-002,196,42,Controls
INC-052,BI-3152,2026-03-07,P2,In review,Data defect,RPT-008,AWM-014,272,22,Controls
INC-053,BI-3153,2026-04-12,P3,Resolved,Source access,RPT-007,AWM-011,53,15,Technology
INC-054,BI-3154,2026-03-16,P3,Resolved,Source access,RPT-007,AWM-011,188,36,Reporting Enablement
